_id,date,center_name,attendance_count
48828345,2025-08-20,Warrington Community Center,25
48828346,2025-08-20,Magee Community Center,16
48828347,2025-08-20,West Penn Community Center,98
48828348,2025-08-19,Brookline Community Center,46
48828349,2025-08-19,Ormsby Community Center,17
48828350,2025-08-19,Paulson Community Center,10
48828351,2025-08-19,Phillips Community Center,37
48828352,2025-08-19,Warrington Community Center,17
48828353,2025-08-19,Magee Community Center,22
48828354,2025-08-19,Jefferson Community Center,11
48828355,2025-08-19,West Penn Community Center,93
48828356,2025-08-18,Brookline Community Center,26
48828357,2025-08-18,Ormsby Community Center,8
48828358,2025-08-18,Phillips Community Center,20
48828359,2025-08-18,Paulson Community Center,11
48828360,2025-08-18,Warrington Community Center,35
48828361,2025-08-18,Magee Community Center,28
48828362,2025-08-18,West Penn Community Center,66
48828363,2025-08-16,Ormsby Community Center,5
48828364,2025-08-16,Paulson Community Center,8
48828365,2025-08-16,Phillips Community Center,6
48828366,2025-08-16,Warrington Community Center,6
48828367,2025-08-16,Magee Community Center,4
48828368,2025-08-16,West Penn Community Center,95
48828369,2025-08-15,Brookline Community Center,24
48828370,2025-08-15,Ormsby Community Center,8
48828371,2025-08-15,Phillips Community Center,18
48828372,2025-08-15,Paulson Community Center,3
48828373,2025-08-15,Warrington Community Center,24
48828374,2025-08-15,Magee Community Center,19
48828375,2025-08-15,West Penn Community Center,37
48828376,2025-08-14,Brookline Community Center,32
48828377,2025-08-14,Ormsby Community Center,15
48828378,2025-08-14,Paulson Community Center,8
48828379,2025-08-14,Phillips Community Center,9
48828380,2025-08-14,Warrington Community Center,35
48828381,2025-08-14,Magee Community Center,19
48828382,2025-08-14,West Penn Community Center,143
48828383,2025-08-13,Brookline Community Center,28
48828384,2025-08-13,Ormsby Community Center,15
48828385,2025-08-13,Phillips Community Center,16
48828386,2025-08-13,Paulson Community Center,9
48828387,2025-08-13,Warrington Community Center,24
48828388,2025-08-13,Magee Community Center,23
48828389,2025-08-13,Jefferson Community Center,6
48828390,2025-08-13,West Penn Community Center,79
48828391,2025-08-12,Brookline Community Center,44
48828392,2025-08-12,Ormsby Community Center,17
48828393,2025-08-12,Paulson Community Center,12
48828394,2025-08-12,Phillips Community Center,22
48828395,2025-08-12,Warrington Community Center,30
48828396,2025-08-12,Magee Community Center,26
48828397,2025-08-12,West Penn Community Center,47
48828398,2025-08-11,Brookline Community Center,25
48828399,2025-08-11,Ormsby Community Center,15
48828400,2025-08-11,Phillips Community Center,8
48828401,2025-08-11,Paulson Community Center,10
48828402,2025-08-11,Warrington Community Center,34
